"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"71",1.31869796970525,1.36332600662067,4.42616327150444,1.23899871627459,3.82900804177584,6.15504694835681,1.77575406778575,1.23899871627459,-0.87323,1.83443217616014,2006-10-01
"72",1.08383699466447,1.15948925638963,4.44669057470009,0.522461789353741,3.67042751243391,6.17397260273972,1.55505831173639,0.522461789353741,-0.83606,2.07932372062386,2007-01-01
"73",2.15096200336228,2.29339688600291,5.97169092166575,0.997161353860829,4.8511501635943,7.70370233246948,2.75596445760831,0.997161353860829,-0.82531,1.82742732145575,2007-04-01
"74",1.67687815471095,1.87037940137139,5.89160608963493,1.10879770815733,4.49735785965157,7.63437837837836,2.37968421052634,1.10879770815733,-0.74431,2.7531128556919,2007-07-01
"75",0.700781019124236,0.911800389115683,5.14514518692104,1.72133372776815,3.63843893824383,6.90259649122805,1.40441011619961,1.72133372776815,-0.76048,2.5938086623436,2007-10-01
"76",0.384448009619348,0.600506673611932,4.99878272973018,0.298271912363221,3.43444030692538,6.77525632262473,1.05422735159578,0.298271912363221,-0.60095,2.15830947581091,2008-01-01
"77",1.96168473279349,2.23309402007507,7.02687596874767,0.104469780452458,5.15111387677353,8.83496503496505,2.77201532644568,0.104469780452458,-0.5257,1.69527921281382,2008-04-01
"78",2.85896996739413,3.21408397640099,8.55506591278143,1.08800904945765,6.21267771998124,10.4083089905875,3.92220058422589,1.08800904945765,-0.43753,2.80938975050159,2008-07-01
"79",2.47311586870617,2.8972710518951,8.75760874873077,2.78549170415279,6.00792460182062,10.6647784810126,3.76057665260197,2.78549170415279,-0.49014,3.80728772472479,2008-10-01
"80",2.98875405149334,3.4960631241421,9.97540441432051,2.84617550026629,6.74222503321021,11.9513888888889,4.57103658536587,2.84617550026629,-0.36059,4.11178365610868,2009-01-01
"81",3.3341704610736,3.9326205637345,11.1112191501844,2.30934633857959,7.33628656118124,13.1720264980428,5.2649383441626,2.30934633857959,-0.26327,4.67856552710404,2009-04-01
"82",3.05611679898561,3.73237462137627,11.6006256282868,3.56111071380814,7.32601106012354,13.7590655304143,5.31538138617188,3.56111071380814,-0.17336,5.01818092425494,2009-07-01
"83",2.68557106193913,3.42245994075449,11.9508839554555,3.40348671979224,7.23588444299371,14.2191049913941,5.23701528804293,3.40348671979224,-0.22979,5.3745259320889,2009-10-01
"84",1.13014458050623,1.87079233128279,10.8456753975585,2.04886320631303,5.93576704586364,13.2238095238095,3.78622239593514,2.04886320631303,-0.15163,5.31832125979206,2010-01-01
"85",-0.458370985905901,0.22779150703434,9.406149417141,1.25893160299261,4.55669572830918,11.8894117647059,2.09395914901646,1.25893160299261,-0.051325,4.15664640668112,2010-04-01
"86",-1.79799834344209,-1.21560155802973,7.93639667557366,-0.439095711604171,3.35919003380411,10.5174017642342,0.458305387475377,-0.439095711604171,0.08304,3.01246863066987,2010-07-01
"87",-1.62959894631996,-1.14867770181496,7.95278638793863,-0.718999121184869,3.61759100831525,10.6368599791014,0.319257863407444,-0.718999121184869,0.037673,1.72507658868378,2010-10-01
"88",-2.09810185585317,-1.73509481753462,7.1998232737123,-0.412445569244372,3.17213329087035,9.98401430030643,-0.544335205992496,-0.412445569244372,0.12337,1.70172665249244,2011-01-01
"89",-0.746912972680917,-0.456177089750895,8.46209077947142,0.864593038594346,4.52983523229907,11.3647191011236,0.559022924640885,0.864593038594346,0.29102,1.4068763546062,2011-04-01
"90",0.110149123759868,0.35991898344912,9.35870160994841,0.738022004758254,5.38279848976545,12.395409035409,1.26840898232203,0.738022004758254,0.51112,2.56614857455588,2011-07-01
"91",0.153304909489094,0.367241389141611,9.43563979013416,2.71154090366442,5.41835176344568,12.6131629240325,1.16697131760245,2.71154090366442,0.65146,3.11251135728957,2011-10-01
"92",0.664044997056862,0.862759543466467,10.0610379075508,2.43584367768928,5.93799633894928,13.3929873772791,1.59970681268834,2.43584367768928,0.9793,3.63092562401544,2012-01-01
"93",1.05750965317299,1.25771222146759,10.6367554329648,1.9168796730591,6.35839763156644,14.1367421642645,1.9718419246469,1.9168796730591,1.3427,3.96532242194248,2012-04-01
"94",-0.170519080366319,-0.00623464612652924,9.3685718462373,2.17299502615999,5.14405174093067,13.0257558790593,0.562583986562146,2.17299502615999,1.5216,4.19379249422507,2012-07-01
"95",-0.828669910885111,-0.71969913571175,8.53348375599023,1.55604975824247,4.48887952695068,12.3413815789474,-0.372485078676078,1.55604975824247,1.2451,3.47908861829847,2012-10-01
"96",-1.65607883993636,-1.62741190743026,7.35284624743338,-0.306784538944106,3.63157982300488,11.2988402061856,-1.6022978908058,-0.306784538944106,0.93578,2.82185227280479,2013-01-01
"97",-3.39974889983839,-3.50644035666616,4.9020818870124,-0.129100362336588,1.79261992316203,8.95310330317696,-4.00926814962165,-0.129100362336588,0.50303,1.70944746599649,2013-04-01
"98",-3.19877763958303,-3.43093828666491,4.37391228751358,-0.863488644962555,1.85932779303536,8.5234384662956,-4.47623376623378,-0.863488644962555,-0.062287,0.352951543811437,2013-07-01
