"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"53",2.56337313055042,4.32389874443021,9.93586481778294,2.49034957324968,8.73381418239633,15.1794549266247,4.66476081570423,2.49034957324968,-0.25665,4.4839549625781,2002-04-01
"54",4.61384784101008,6.39938406466698,13.3983379672304,3.89273707546276,11.2382957681615,18.3362962962963,6.74772005772007,3.89273707546276,-0.071199,4.99331419047473,2002-07-01
"55",2.07279089464959,3.79513540270099,11.8298091035826,3.5874880806296,9.09197226389454,16.5187662337663,4.09110047846892,3.5874880806296,-0.31531,6.9498490790558,2002-10-01
"56",-2.00358366098453,-0.483636769905644,7.96571105290033,1.61076012769527,5.31022102002781,12.4911654135338,-0.370514648690687,1.61076012769527,-0.38343,5.52251238782043,2003-01-01
"57",-1.30035550276901,0.0374846731819503,8.9326813238936,-0.626566850786627,6.25958454054574,13.2963702359346,-0.0381371312559509,-0.626566850786627,-0.47039,2.42793758691539,2003-04-01
"58",-2.22804059538055,-1.10200771033598,8.03696806069235,-0.907739909693834,5.47317808170958,12.2673874926943,-1.42267679719458,-0.907739909693834,-0.62089,2.3202582702944,2003-07-01
"59",-3.47948015362806,-2.60303219773078,6.51620765221114,0.857879662640357,4.26426695701566,10.6457627118644,-3.24362322867464,0.857879662640357,-0.66757,1.58755208006672,2003-10-01
"60",-4.40215924842607,-3.79959679854338,5.06863643429071,-0.340935112980551,3.28623731246472,9.1237704918033,-4.8293363299841,-0.340935112980551,-0.78818,1.07783615035507,2004-01-01
"61",-4.64166638190738,-4.31187204031025,4.16511763185693,-0.568257280745834,2.90406251976926,8.16234796404018,-5.7741305935383,-0.568257280745834,-0.53978,-0.0207774666547306,2004-04-01
"62",-2.97060781567697,-2.8463683005431,5.38426107016463,0.148222365588955,4.39477498492256,9.31874039938555,-4.69249231950846,0.148222365588955,-0.47118,-0.429918136569773,2004-07-01
"63",-2.52762125987365,-2.57984969762123,5.394079684997,0.689565172352492,4.61902395717975,9.27321428571429,-4.80467032967033,0.689565172352492,-0.60752,0.619776357304763,2004-10-01
"64",-2.51670062827765,-2.72988491065388,4.92242438941361,1.30171979649022,4.39137737596706,8.75653846153847,-5.34481643356645,1.30171979649022,-0.20707,0.830356014416041,2005-01-01
"65",-0.133327645000264,-0.413284278963488,7.21034734791505,1.44806869259276,6.57980072535933,10.9924475524476,-3.29783529902932,1.44806869259276,-0.18087,0.850515224177971,2005-04-01
"66",0.495915280065844,0.185442012652089,7.8495510633114,1.66429500256232,7.04125541153079,11.5857078245138,-2.92601165296512,1.66429500256232,-0.68096,2.3074000809915,2005-07-01
"67",0.10848631429468,-0.23165675668352,7.40189825761854,2.41452083543799,6.51463091114572,11.1034679543459,-3.58190632515172,2.41452083543799,-1.2155,2.64732786912106,2005-10-01
