"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"42",-2.91648062054273,-4.0823657993389,-25.5971298158304,-9.55191172246813,-27.1073722297603,-2.75796951073508,-1.56339631009311,-1.5984,-10.883166191954,1999-07-01
"43",0.795214169675404,-0.234862618060163,-22.2460443055903,-7.39193525089837,-23.6451712028095,1.35898003588198,-0.382173225609983,-1.3811,-9.67498451782639,1999-10-01
"44",-0.652210666983734,-1.59582822203237,-24.2431044289041,-9.40732807535684,-25.5556265984655,0.202320058458156,1.21344694098293,-0.70274,-7.07536496177642,2000-01-01
"45",-2.75409920390541,-3.68455227093023,-27.2278742788658,-10.2958594065393,-28.4790476190476,-1.80389817163854,-1.78640487715203,-0.037732,-8.08500041676001,2000-04-01
"46",-1.73471432252546,-2.62297531615368,-26.8879765428244,-11.5792415486946,-28.1120724346077,-0.596160295103971,-2.36848196824718,0.40541,-10.0152644723709,2000-07-01
"47",-1.68044129680308,-2.52859458473009,-27.470559214833,-13.4679389180524,-28.6991784037559,-0.348360023152622,-0.58192612724318,0.68539,-9.73994214594492,2000-10-01
"48",-2.39893410835828,-3.23462554253351,-28.9242431629659,-14.4256334386658,-30.18900304414,-0.947744662470683,-1.29210462071037,0.75139,-9.93420510413201,2001-01-01
"49",-2.91970557930338,-3.76409374514202,-30.2538473601233,-13.9052752792308,-31.5876712328767,-1.4102184376157,-2.08983546533094,0.72056,-10.8544589448731,2001-04-01
"50",-1.35210410734794,-2.15669147720686,-29.1954615640693,-12.2195204216367,-30.628,0.37323755334279,-1.9019936468557,0.62771,-11.3383093095216,2001-07-01
"51",0.650828013503514,-0.0499435863894462,-27.2993135636098,-14.121630837486,-28.8548070175439,2.81227887901574,-0.237223409110186,0.3937,-10.0368897096081,2001-10-01
"52",1.11829045587805,0.534616182631765,-26.7883021502167,-9.7051136912456,-28.491011619959,3.78445633314055,0.320557101896102,0.15307,-8.77922820689799,2002-01-01
"53",0.98733708957451,0.512992831135051,-26.8311947703704,-12.5607571614715,-28.7056943056943,4.16093906093906,-0.625351520874364,-0.12288,-7.85899290094596,2002-04-01
"54",-0.0188107833789672,-0.421912187988426,-27.8702537872599,-12.0958951072543,-29.9449204803635,3.56077166504383,-1.10205497734151,-0.44169,-8.37110460956987,2002-07-01
"55",1.65552676780842,1.37332611971991,-25.8792113052934,-20.5889671632295,-28.1671202531645,5.83633145804026,-1.67907999760896,-0.63186,-9.04695676965082,2002-10-01
"56",0.398839569898939,0.190290794962976,-26.9821919092023,-16.2344729736783,-29.5108333333334,5.04803071364049,0.213501277473292,-0.83804,-9.02882575464653,2003-01-01
"57",-1.17433707776883,-1.36814007779103,-28.6449955415677,-22.330584894481,-31.4465823547124,3.75753855530522,-2.08450166202128,-0.89056,-9.01407125380322,2003-04-01
"58",-1.68625412287531,-1.88926326402353,-29.3219893100182,-20.9989256386326,-32.4234792829856,3.45332059947108,-2.66242277603276,-0.73173,-11.0866249787049,2003-07-01
"59",-0.299034014748997,-0.471264682891558,-27.8372188316412,-15.0377889620044,-31.2489672977625,5.19976713576997,-1.76031571381775,-0.48577,-11.2959318720142,2003-10-01
"60",-1.50173222300003,-1.68748886654996,-29.1321869243434,-13.8242895549688,-32.8849859943978,4.20419874926714,-0.392833349075855,-0.08995,-9.58642705823773,2004-01-01
"61",-2.10987624284905,-2.33364098318174,-29.9333745955619,-10.4735877831054,-34.0548563611491,3.71256663050144,-2.67196092978702,0.17983,-10.0775428580458,2004-04-01
"62",-1.74944755268584,-2.0026629135611,-29.6994042031051,-19.0592278472818,-34.207858861267,4.21566669096742,-2.29543931926585,0.31507,-10.3857669331643,2004-07-01
"63",0.0167989758688805,-0.209374406840482,-27.7310553141418,-30.7291191481094,-32.6263584117032,6.3349336057201,-1.27709191172169,0.42637,-11.1293392367479,2004-10-01
"64",1.42843828496137,1.27524766013028,-25.8277651225604,-25.7812925621231,-31.1072012257406,8.28355890364315,0.160853245074261,0.4648,-11.0436561525686,2005-01-01
"65",0.526425347863409,0.415447178503257,-26.3521094376314,-22.0802024169789,-32.0369288389513,7.81550561797752,-0.0216338616348144,0.40342,-9.26799661413404,2005-04-01
"66",2.19188093693228,2.17622939887048,-23.9713915477072,-14.304608395699,-30.0493284493285,10.1366857779902,-1.73283728133895,0.27139,-9.37376927626337,2005-07-01
"67",3.23449102096723,3.34663807007124,-21.9676626882399,-13.2617245416945,-28.4275203057812,11.9905321887089,0.568219894198028,0.095433,-7.35223040946421,2005-10-01
"68",3.11631074187264,3.34926207455109,-21.0796056656513,-16.9890856183688,-27.9213884992987,12.6919063889469,0.248085738264389,-0.060074,-5.99524716979399,2006-01-01
"69",2.55245176314631,2.88288669422332,-20.6803724950285,-12.5918155762917,-27.9091283459163,12.8905429324856,-0.632296416387619,-0.2265,-6.23525917877514,2006-04-01
"70",3.4836223142195,3.93654561007239,-18.5696709093132,-15.7821758767562,-26.1665173572229,14.7210036394177,-0.869399456405341,-0.33915,-5.94635970940095,2006-07-01
"71",3.67050547880328,4.24592309338183,-17.113074487025,-22.6244819501748,-25.0655263157895,15.8494696147585,0.457003706982337,-0.40256,-5.37933490198638,2006-10-01
