"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"47",4.07089870968889,4.66514342584614,1.33046395190837,7.5999165920326,-0.682042253521132,5.93223358415335,1.56087109485559,1.3564,3.38559159334406,2000-10-01
"48",4.1738679129881,4.92171182436934,2.36891932701309,7.78837064977924,0.398363774733667,6.71757682339876,1.01945259049936,1.481,3.579068975761,2001-01-01
"49",4.4826654492386,5.38233385323642,3.72499920668503,8.38652788536544,1.79914846353202,7.74564975934837,1.81560764772491,1.5709,3.96049494735516,2001-04-01
"50",3.66999858544784,4.68234558242381,3.86681392979463,9.4763815693517,1.98864864864865,7.56958748221905,1.49066246952144,1.5183,4.63245321116397,2001-07-01
"51",3.09817074112044,4.19169334725359,4.18397767474798,8.99521522156485,2.35708771929825,7.56752973342449,0.666978730497265,1.3873,4.51496350232711,2001-10-01
"52",2.17205151621113,3.30392348756521,4.00471638247092,9.15658024968542,2.23151059466846,7.0985054419265,0.574432882944637,1.1875,4.20320004008907,2002-01-01
"53",0.983397702153098,2.10288883028906,3.35647303108541,10.5412873465258,1.63706293706292,6.21562361688945,-0.0424119325639159,0.81696,3.7829635761061,2002-04-01
"54",-0.308623514903985,0.745638573644385,2.36043655894176,9.78305776476688,0.6921129503408,5.0557205452775,-0.605471193907314,0.27582,3.19559613879102,2002-07-01
"55",-0.535179430985835,0.438199380568392,2.36055161037294,9.12821954338082,0.744208860759471,4.90026254102204,-0.428078801876562,-0.15036,2.23565293571806,2002-10-01
"56",-0.30461344233936,0.589972127014505,2.82966393747711,9.4245504484557,1.26898148148149,5.19560749774163,0.530882464502211,-0.35236,2.05024687999339,2003-01-01
"57",-0.593146172685323,0.209974334104345,2.70158447360663,9.95754755025524,1.1970189701897,4.90960916838085,0.62448234661635,-0.46436,2.36858498335422,2003-04-01
"58",-1.53005274110637,-0.850710555531208,1.72561070913392,9.1619219798107,0.271260652365555,3.83511187607576,-0.205178515633875,-0.62788,2.24350245490214,2003-07-01
"59",-2.96435516396801,-2.45600239817742,-0.0503526844763655,7.30229931175973,-1.46815834767642,2.05627214741318,-1.26174516379877,-0.83136,1.35785769025153,2003-10-01
"60",-2.76562731885616,-2.41962176398258,-0.216608598806886,6.84958273685132,-1.60064425770307,1.893901700215,-1.19832527641619,-1.0219,-0.0576623836140038,2004-01-01
"61",-1.42571447271936,-1.19311037540317,0.949949827097043,7.28426366664169,-0.391299589603278,3.00523326572008,0.457886364655948,-0.97601,-0.102726482406966,2004-04-01
"62",-1.20204877951451,-1.06882284843596,1.01140315111542,10.1070402712005,-0.286848436247027,3.01019173288623,0.971471322627088,-0.83684,0.919695510185416,2004-07-01
"63",-1.07631572834049,-1.03102830652713,0.973408825036415,10.7340809751386,-0.282523510971771,2.91925258004298,0.218208968872949,-0.61785,1.42400501669632,2004-10-01
"64",-1.35146233340703,-1.3956746990155,0.463358611429101,9.91745727372842,-0.755975485188998,2.38107337419135,-0.0171140830262691,-0.46628,1.43133323682642,2005-01-01
"65",0.457391999755941,0.391156247045501,2.34369112131486,10.1804008758203,1.18119850187267,4.14992715150015,0.522304432560517,-0.22349,1.09244408067419,2005-04-01
"66",0.294357744374253,0.208601196892374,2.22696439029889,8.0850430461889,1.12083028083029,3.93183787227267,1.3460635898802,-0.012151,2.35374939153108,2005-07-01
"67",0.956885059113176,0.880300130779659,3.05847050594306,10.8695635635807,2.01956521739132,4.63131636946503,0.50807164502525,0.22481,2.12883978607348,2005-10-01
"68",0.90553859379952,0.842318723149447,3.17807140139644,9.82863783447851,2.20932678821879,4.62020679776788,0.878063962736092,0.42893,2.8716947387211,2006-01-01
"69",1.56374797284519,1.54031779540452,4.13698094186961,8.89480939631028,3.25245939144358,5.4160242748257,0.80229185508,0.6074,2.84123093888057,2006-04-01
"70",1.17560689708867,1.1827314847792,3.99724391689907,9.82677527940089,3.19724524076148,5.12667553191488,0.952134025550105,0.65605,3.24283280538059,2006-07-01
