"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"68",-2.62706452377051,-2.9755419339559,-7.99107461149072,1.13313892183837,-11.654347826087,-1.04336561129182,-2.22377076841838,-3.7482,-4.1005638108079,2006-01-01
"69",-2.17173585440921,-2.59516296154578,-8.02732838154554,-0.335829741767412,-11.7827956989247,-0.886749990969207,-0.244335060745394,-4.129,-3.90144798936491,2006-04-01
"70",0.0795391367519755,-0.338271392894001,-5.8750448359753,-0.658953713930458,-9.69955207166851,1.36117721164615,0.71543391235484,-4.3341,-3.76138849046524,2006-07-01
"71",1.87752901239099,1.53139753743051,-3.83143583974692,1.25008979250137,-7.70052631578949,3.41505290287574,2.72229396577333,-4.0933,-2.35593816750229,2006-10-01
"72",5.75122836542991,5.61063414106903,1.03676780599616,3.95617085792142,-2.8090206185567,8.1096031453819,5.53246697475845,-3.1513,-0.611140055626723,2007-01-01
"73",4.56236889689563,4.59185645396039,0.721523101587508,3.52340866371659,-3.10439722280663,7.64014689287148,4.49386364693384,-2.3489,2.9804238689659,2007-04-01
"74",4.70912606792737,4.91312635162791,1.84037770420767,4.14914756255314,-1.94755720470008,8.57202844774275,0.543733575299861,-2.0588,2.4845537952613,2007-07-01
"75",3.92174374587913,4.27101491326661,1.94990354253113,6.5286343623788,-1.79656565656566,8.49949594959492,1.32921124494197,-1.801,2.52453289578894,2007-10-01
"76",5.12327856914419,5.65205761749266,4.31919261104301,10.1179593163354,0.6542574257426,10.6154222481071,1.87060290723042,-1.2138,2.81258448406625,2008-01-01
"77",3.01137595051111,3.64295680745892,3.05461538814339,11.8363464165286,-0.546301688992429,9.15125161859422,1.74119548146546,-0.72351,4.59125766151486,2008-04-01
"78",2.05515931185749,2.74905448510719,2.79981170720782,11.7674315204412,-0.739006282124507,8.71433905899926,-0.881138758400974,-0.28269,3.86725051704809,2008-07-01
"79",3.56316606611617,4.36035615525924,5.29604641904982,13.2788546918524,1.86480582524274,10.959255307799,1.43365197868062,0.70469,3.19808260794782,2008-10-01
"80",5.00886310387432,5.94922038308007,8.02575416114681,14.1236387394561,4.7543956043956,13.3671910636533,4.20382176452049,2.1558,5.10437364256947,2009-01-01
"81",7.73148593802293,8.89728664332708,12.5790037693848,18.235414498346,9.55574123989217,17.4805264881477,7.55344384774339,3.9728,7.13348223344134,2009-04-01
"82",9.25558241365761,10.6890187762734,16.296727002418,22.2360476267873,13.5990830541351,20.6741482003958,12.1080376512331,5.5222,10.7040851649869,2009-07-01
"83",7.30918071304399,8.93554653286503,16.2884296407797,25.9514762679744,13.9274143302181,20.1688806958377,6.35600343349628,6.2011,13.7415548692086,2009-10-01
"84",3.43126232300912,5.10898378123113,13.7032007771362,23.1553298504867,11.6400101936799,17.1821633768882,0.286541268942926,5.8006,13.0363287126072,2010-01-01
"85",1.37360718208592,3.02001835032812,12.5617230085304,23.1306459197085,10.7827856547123,15.6894398485224,-1.76216647007511,4.7939,9.92399113923809,2010-04-01
