"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"77",-1.81487536820296,-1.32880651340221,14.7062020761351,2.73921536173937,6.98574091789823,17.3185814185814,-5.05104895104898,2.73921536173937,-0.69821,5.80328052220574,2008-04-01
"78",-3.5711803645143,-3.25572442779244,12.3659755674885,0.515037948452041,5.24251531013793,15.0704316780266,-7.40223953261929,0.515037948452041,-0.18805,3.49442050842779,2008-07-01
"79",-4.49569933753631,-4.38025163713374,10.6073882046033,-1.57223894647771,4.24128397917243,13.4043670886076,-9.06341303328642,-1.57223894647771,0.48151,1.68069579910111,2008-10-01
"80",-6.89308468467863,-7.05343073677204,6.8489978125169,-2.59302967679776,1.63137244985515,9.72388888888889,-12.5148193315266,-2.59302967679776,1.1282,0.377911425740024,2009-01-01
"81",-8.09596839571662,-8.56612301160854,3.94734669064869,-4.3529676045748,0.0926046038613956,6.8849744052996,-14.9646825785527,-4.3529676045748,1.4799,-1.75381007053159,2009-04-01
"82",-6.79808405329385,-7.52593855066567,3.6561259782062,-5.92087794110363,0.974867881914,6.65548045841905,-14.8099911842492,-5.92087794110363,1.9361,-3.43073428880545,2009-07-01
"83",-5.68848593697891,-6.62452834820354,3.28068169927911,-1.87636784422184,1.60682030522308,6.33967297762479,-14.7411157233978,-1.87636784422184,2.4649,-3.45099434963586,2009-10-01
"84",-5.71354735999995,-6.84382154019684,1.69182467217277,1.71253434520528,1.0545042473869,4.79767507002799,-15.8266718780535,1.71253434520528,2.9273,-2.11807599906101,2010-01-01
"85",-6.56520072865462,-7.90251545881043,-0.94711158432986,-0.0197156770166606,-0.374091575449949,2.1811491108071,-17.8573668569272,-0.0197156770166606,3.1122,-1.66389091346049,2010-04-01
"86",-8.05863096730255,-9.6369372392279,-4.5746437825272,-3.62992583652367,-2.51161261999922,-1.46150761828389,-20.7338521542611,-3.62992583652367,3.2743,-3.21231754588662,2010-07-01
"87",-9.95179885628252,-11.8180969607757,-9.03660091949709,-8.76115735689521,-5.14085265450647,-5.98944618599791,-24.2756753900884,-8.76115735689521,3.3861,-5.74994266114518,2010-10-01
"88",-9.40410784794545,-11.5238495390336,-11.0664336782917,-11.6904092518046,-5.3862405952998,-8.1162921348315,-25.3420752468505,-11.6904092518046,3.3895,-9.027967786111,2011-01-01
"89",-9.15577244762744,-11.5025785337087,-13.4409039277171,-11.8638805152212,-5.99383142035846,-10.6250187265918,-26.6991266411491,-11.8638805152212,3.3082,-10.230165841954,2011-04-01
"90",-6.91386343999179,-9.39449159736938,-13.4906416379445,-5.73921162676347,-4.60367079404321,-10.8220268620269,-25.7838254499124,-5.73921162676347,3.528,-10.9259044247682,2011-07-01
"91",-6.24614834572941,-8.81896376983255,-15.0294220347405,-4.68892631658825,-4.78802421681822,-12.5387482083134,-26.3437818843149,-4.68892631658825,3.8014,-8.64694607588843,2011-10-01
"92",-4.69333994064289,-7.28874975087524,-15.4211045629361,-1.59868679014968,-4.0372200851816,-13.126157082749,-25.7924047327743,-1.59868679014968,4.0104,-8.60120707059727,2012-01-01
"93",-2.30777020624345,-4.83022484385083,-14.5387566059278,-3.21745077689267,-2.36623047531101,-12.4407229466941,-24.0522089368927,-3.21745077689267,3.7175,-7.4083442840618,2012-04-01
"94",-0.988610966060634,-3.38023761578799,-14.438563987664,0.225963163821069,-1.66887998068921,-12.5477043673012,-23.1428051511758,0.225963163821069,2.9832,-6.76135729515527,2012-07-01
"95",0.327914155994335,-1.87876703969764,-14.0380626085556,1.96031999733384,-0.859270893059103,-12.3599342105263,-21.9902414541508,1.96031999733384,2.1093,-5.48345533118293,2012-10-01
"96",1.13323901631972,-0.855251339302498,-13.9214786458705,0.658727389506213,-0.44972406881124,-12.4649054982818,-21.1644428518831,0.658727389506213,1.4545,-4.54758778383453,2013-01-01
"97",4.07010677476555,2.39952649816155,-11.048462940349,1.43179999783628,2.25419957430214,-9.78074900063118,-17.7226867879298,1.43179999783628,0.67496,-4.60692905569551,2013-04-01
"98",3.6888242540804,2.32236142623589,-11.4351133590821,3.42146396273175,1.74187220217478,-10.3698206555349,-17.5550092764378,3.42146396273175,0.031502,-2.56905820569983,2013-07-01
"99",5.06033071025411,4.03716094723515,-9.70335209294984,5.68436302159417,3.12728901870582,-8.82090909090908,-15.35599759976,5.68436302159417,-0.55169,-2.30362900419086,2013-10-01
"100",3.72527295534519,2.99127007571934,-10.7927878183296,1.36007656161095,1.87552146526768,-10.1170099009901,-15.9639580663949,1.36007656161095,-1.0864,-0.775326449320927,2014-01-01
"101",4.73319688513794,4.30783148341089,-9.2537090653166,2.41992811279073,3.07178641953681,-8.76592894583578,-14.017047118761,2.41992811279073,-1.7166,-2.59718395765795,2014-04-01
"102",5.91284098647012,5.81931749483431,-7.21738409572507,0.342318364508267,4.53046647020631,-6.88857795545402,-11.657039933225,0.342318364508267,-1.9726,-1.5184007498812,2014-07-01
"103",6.80367534692138,7.05375022445648,-5.18679235620812,5.92853520814802,5.79237698270207,-4.98562359970128,-9.38043315907396,5.92853520814802,-2.0811,-0.959795752025229,2014-10-01
"104",8.6428755009342,9.27778068490264,-1.7467710875587,8.19855429503571,8.12230102706651,-1.61456043956042,-5.8088300850093,8.19855429503571,-2.0977,1.41587200254268,2015-01-01
"105",8.48102045414956,9.47406206923563,-0.193751267081353,10.0739959799525,8.53460505588832,-0.102210242587574,-4.17410736327682,10.0739959799525,-2.3549,3.73375595363408,2015-04-01
"106",8.56177290030772,9.89194946389318,1.74729452464655,11.529573134608,9.27723383279657,1.83528478222536,-2.20847097317738,11.529573134608,-2.4838,4.69270770299148,2015-07-01
"107",6.83606187838154,8.4210871934113,1.68887827842192,7.37434130345127,8.24176189085857,1.77476635514017,-2.23910467099185,7.37434130345127,-2.2988,5.72998170728938,2015-10-01
"108",5.8632577388851,7.64467408377556,2.29278008571524,6.09168222148481,7.97674242767132,2.39058783554194,-1.62247706422019,6.09168222148481,-2.0416,4.22568293527598,2016-01-01
"109",4.71466153908236,6.62877711750903,2.57653811237407,2.94872600056309,7.51689649166743,2.69457881567973,-1.33140229470504,2.94872600056309,-2.0623,3.87910847530602,2016-04-01
"110",2.57181576272873,4.52340371321313,1.51737817775657,3.7764416445107,5.99948344456794,1.63744471744477,-2.35379782379786,3.7764416445107,-1.7436,2.87402259381965,2016-07-01
"111",-0.477866592754481,1.38793418605064,-0.998695548221008,1.51389624539826,3.46285350760322,-0.92548262548263,-4.76981241671507,1.51389624539826,-1.5661,2.12928120967958,2016-10-01
"112",-4.26428893982401,-2.62890101302409,-4.98267393055642,-2.73722888179189,0.0198462236351553,-5.03803729456382,-8.56023396433562,-2.73722888179189,-1.4957,-0.164075604812714,2017-01-01
"113",-4.71772577968281,-3.34253131126545,-5.81065139982553,-7.5097684727783,-0.229384754250306,-6.01443875174661,-9.18325469310059,-7.5097684727783,-1.6297,-3.6889662013898,2017-04-01
"114",-6.0939894759286,-5.03280112992599,-7.90785730113652,-7.8814778895156,-1.57640672096239,-8.30762776506481,-11.0364041663379,-7.8814778895156,-1.5614,-5.30485379462735,2017-07-01
"115",-5.29924024334474,-4.52828770889374,-7.79852801716308,-2.99151911265683,-0.866272016563289,-8.39637181409296,-10.6963602813977,-2.99151911265683,-1.2717,-6.53003342828976,2017-10-01
"116",-4.46548511925732,-3.95386022705242,-7.5886575634861,-3.33083906900486,-0.209947410260556,-8.38426171529616,-10.2705105726147,-3.33083906900486,-0.92646,-5.04372481180879,2018-01-01
"117",-4.73840512869995,-4.48753463095161,-8.60750651021959,0.905509697970158,-0.742545957864852,-9.62746631899174,-11.0616472925546,0.905509697970158,-0.61584,-4.79339657768854,2018-04-01
"118",-4.13117281081716,-4.1105121062426,-8.70662390244382,-0.226874488658729,-0.437105174720207,-9.95781227745334,-10.9412298817832,-0.226874488658729,-0.47152,-4.17743730843166,2018-07-01
"119",-4.27288040629193,-4.47425598326259,-9.63771912605102,-1.7943039522767,-0.926320449716931,-11.1459243697479,-11.6443843322453,-1.7943039522767,-0.68101,-4.32597349569304,2018-10-01
"120",-4.29065637763662,-4.70044708081602,-10.5030806586916,-1.00620768153935,-1.32210392109707,-12.2933884297521,-12.2757637853949,-1.00620768153935,-0.61267,-5.1325359158744,2019-01-01
"121",-3.96912550103488,-4.56149291638019,-11.021378626922,-2.76227353188746,-1.39685878909103,-13.1115160547351,-12.561332822243,-2.76227353188746,-0.35855,-5.26863440813975,2019-04-01
"122",-4.66263508199123,-5.44475979775063,-12.7232983830501,-2.5637209859643,-2.52091305564002,-15.1592962814874,-14.0111619868182,-2.5637209859643,-0.20125,-5.78640724132435,2019-07-01
"123",-4.95294481631606,-5.9187544541839,-14.1235249693464,-3.46567216196965,-3.26666493558097,-16.9457251507999,-15.1473170731707,-3.46567216196965,-0.38498,-6.54673450877632,2019-10-01
"124",-1.15704386969458,-2.16493401830749,-10.7934274633868,-4.94201714633904,0.13887366523302,-13.9292,-11.6208651305684,-4.94201714633904,-0.90982,-7.42077224333297,2020-01-01
"125",-0.255069375319295,-1.25862017317769,-10.1811946412247,0.0833737874011393,0.685046090283681,-13.6209142857143,-10.830850543682,0.0833737874011393,-2.0238,-5.588732023863,2020-04-01
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-01
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-01
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-01
